velocity [mm/s]	effect [%]	deffect [%]	
-8.8986	-0.66833	0.11702	-0.75258
-8.8188	-0.72361	0.11699	-0.79402
-8.739	-0.89223	0.11689	-0.83441
-8.6592	-0.93497	0.11687	-0.87255
-8.5794	-0.78359	0.11696	-0.90712
-8.4996	-0.76291	0.11697	-0.93677
-8.4198	-0.8499	0.11692	-0.9602
-8.34	-0.9522	0.11686	-0.97636
-8.2602	-0.99908	0.11683	-0.98452
-8.1803	-0.97316	0.11684	-0.98441
-8.1005	-1.1456	0.11674	-0.97627
-8.0207	-1.0085	0.11682	-0.96076
-7.9409	-0.89471	0.11689	-0.93894
-7.8611	-0.97729	0.11684	-0.9121
-7.7813	-0.926	0.11687	-0.88164
-7.7015	-0.9136	0.11688	-0.84891
-7.6217	-0.70803	0.117	-0.81517
-7.5419	-0.59677	0.11707	-0.78149
-7.4621	-0.67315	0.11702	-0.74874
-7.3823	-0.63165	0.11705	-0.71759
-7.3025	-0.67343	0.11702	-0.68851
-7.2226	-0.66971	0.11702	-0.66186
-7.1428	-0.61166	0.11706	-0.63785
-7.063	-0.6584	0.11703	-0.61659
-6.9832	-0.66543	0.11703	-0.59814
-6.9034	-0.63703	0.11704	-0.58252
-6.8236	-0.55734	0.11709	-0.5697
-6.7438	-0.72416	0.11699	-0.55966
-6.664	-0.64999	0.11704	-0.55237
-6.5842	-0.58285	0.11708	-0.54778
-6.5044	-0.52825	0.11711	-0.54587
-6.4246	-0.56644	0.11708	-0.54663
-6.3448	-0.57003	0.11708	-0.55004
-6.2649	-0.45808	0.11715	-0.55609
-6.1851	-0.42113	0.11717	-0.56479
-6.1053	-0.47779	0.11714	-0.57611
-6.0255	-0.6147	0.11706	-0.59004
-5.9457	-0.51336	0.11712	-0.60651
-5.8659	-0.49572	0.11713	-0.62544
-5.7861	-0.64737	0.11704	-0.64665
-5.7063	-0.76553	0.11697	-0.66991
-5.6265	-0.75091	0.11698	-0.69484
-5.5467	-0.68198	0.11702	-0.72095
-5.4669	-0.87568	0.1169	-0.74759
-5.3871	-0.95427	0.11686	-0.77394
-5.3072	-0.83887	0.11692	-0.79903
-5.2274	-0.72789	0.11699	-0.82177
-5.1476	-0.84149	0.11692	-0.84104
-5.0678	-0.88478	0.1169	-0.85574
-4.988	-0.9136	0.11688	-0.86493
-4.9082	-1.004	0.11683	-0.86795
-4.8284	-0.98363	0.11684	-0.86447
-4.7486	-0.91442	0.11688	-0.85457
-4.6688	-0.94393	0.11686	-0.8387
-4.589	-0.77035	0.11696	-0.81764
-4.5092	-0.63786	0.11704	-0.79238
-4.4294	-0.66433	0.11703	-0.76402
-4.3495	-0.55238	0.11709	-0.73366
-4.2697	-0.68529	0.11701	-0.7023
-4.1899	-0.67798	0.11702	-0.67083
-4.1101	-0.64654	0.11704	-0.63996
-4.0303	-0.69397	0.11701	-0.61024
-3.9505	-0.65344	0.11703	-0.58207
-3.8707	-0.55941	0.11709	-0.55573
-3.7909	-0.44484	0.11716	-0.53138
-3.7111	-0.46787	0.11714	-0.5091
-3.6313	-0.52398	0.11711	-0.48893
-3.5515	-0.56437	0.11709	-0.47086
-3.4717	-0.4447	0.11716	-0.45483
-3.3918	-0.41506	0.11717	-0.44079
-3.312	-0.42995	0.11716	-0.42869
-3.2322	-0.48648	0.11713	-0.41844
-3.1524	-0.47683	0.11714	-0.41001
-3.0726	-0.33648	0.11722	-0.40331
-2.9928	-0.2907	0.11725	-0.39831
-2.913	-0.44057	0.11716	-0.39496
-2.8332	-0.43161	0.11716	-0.39321
-2.7534	-0.4021	0.11718	-0.39303
-2.6736	-0.41561	0.11717	-0.39437
-2.5938	-0.29001	0.11725	-0.39719
-2.514	-0.23059	0.11728	-0.40143
-2.4342	-0.32145	0.11723	-0.40699
-2.3543	-0.46856	0.11714	-0.41377
-2.2745	-0.54383	0.1171	-0.42161
-2.1947	-0.50123	0.11712	-0.43031
-2.1149	-0.35302	0.11721	-0.43958
-2.0351	-0.54838	0.1171	-0.44911
-1.9553	-0.63303	0.11705	-0.45849
-1.8755	-0.51998	0.11711	-0.46729
-1.7957	-0.47421	0.11714	-0.47503
-1.7159	-0.53156	0.11711	-0.48126
-1.6361	-0.66695	0.11703	-0.48557
-1.5563	-0.54976	0.11709	-0.48767
-1.4765	-0.61235	0.11706	-0.48739
-1.3966	-0.58905	0.11707	-0.48474
-1.3168	-0.52963	0.11711	-0.47989
-1.237	-0.4789	0.11714	-0.47314
-1.1572	-0.4993	0.11712	-0.46491
-1.0774	-0.53363	0.1171	-0.45566
-0.9976	-0.66654	0.11703	-0.44586
-0.91779	-0.57471	0.11708	-0.43596
-0.83799	-0.48124	0.11713	-0.42636
-0.75818	-0.4305	0.11716	-0.4174
-0.67837	-0.5794	0.11708	-0.40935
-0.59856	-0.56506	0.11709	-0.40241
-0.51875	-0.44388	0.11716	-0.39675
-0.43895	-0.40541	0.11718	-0.39247
-0.35914	-0.54755	0.1171	-0.38965
-0.27933	-0.53832	0.1171	-0.38832
-0.19952	-0.57802	0.11708	-0.38852
-0.11971	-0.41672	0.11717	-0.39022
-0.039904	-0.35219	0.11721	-0.39342
0.039904	-0.40472	0.11718	-0.39805
0.11971	-0.42954	0.11717	-0.40402
0.19952	-0.46194	0.11715	-0.41122
0.27933	-0.42692	0.11717	-0.41946
0.35914	-0.52288	0.11711	-0.42852
0.43895	-0.50495	0.11712	-0.43811
0.51875	-0.31635	0.11723	-0.44786
0.59856	-0.4232	0.11717	-0.45736
0.67837	-0.53749	0.1171	-0.46614
0.75818	-0.47848	0.11714	-0.47373
0.83799	-0.48331	0.11713	-0.47967
0.91779	-0.46607	0.11714	-0.4836
0.9976	-0.46469	0.11714	-0.48524
1.0774	-0.49434	0.11713	-0.48449
1.1572	-0.43298	0.11716	-0.48141
1.237	-0.48579	0.11713	-0.47621
1.3168	-0.52563	0.11711	-0.46922
1.3966	-0.51336	0.11712	-0.46088
1.4765	-0.43285	0.11716	-0.45166
1.5563	-0.45422	0.11715	-0.44201
