#Energy(eV)	Transm	Ref	Fluo/I0
5808.05 0.04614 444018 486799 217165 -0.0919862 0.807194 0.000178022
5808.31 0.040398 388550 426654 191012 -0.0935515 0.803637 0.000218889
5808.56 0.039281 377442 414400 185496 -0.0934148 0.803798 0.000217384
5808.81 0.052581 505097 554837 248358 -0.0939239 0.803803 0.000207998
5809.07 0.048516 466542 513151 229905 -0.0952221 0.802904 0.000190881
5809.32 0.04405 423091 465325 208502 -0.0951488 0.802787 0.00019628
5809.57 0.038338 368100 405033 181738 -0.0956139 0.801402 0.00022562
5809.83 0.049904 479558 527788 236974 -0.0958298 0.800744 0.000237857
5810.08 0.051105 490429 540464 242889 -0.0971475 0.799823 0.000224422
5810.33 0.040424 388350 427786 192051 -0.0967161 0.800862 0.000175197
5810.59 0.033867 324652 357914 160817 -0.0975389 0.800026 0.000175673
5810.84 0.055543 533856 588842 264233 -0.0980318 0.801327 0.000211789
5811.09 0.047002 452039 499326 224519 -0.0994907 0.799299 0.000168221
5811.35 0.044693 428751 473728 213256 -0.099757 0.79814 0.000186699
5811.6 0.042812 410313 453576 204480 -0.100243 0.796693 0.000212151
5811.85 0.051804 496609 549123 247207 -0.100519 0.798096 0.000243795
5812.11 0.044335 424715 470090 211544 -0.101506 0.798491 0.000190825
5812.36 0.039746 380869 421795 189792 -0.102064 0.798591 0.000173391
5812.62 0.046879 449111 497745 224133 -0.102818 0.797848 0.000193827
5812.87 0.048488 463777 514037 231941 -0.102891 0.795812 0.000194172
5813.12 0.041605 398060 441412 198921 -0.103376 0.797071 0.000203606
5813.38 0.038705 370648 411359 185330 -0.104213 0.797328 0.00019436
5813.63 0.052607 503703 559105 252800 -0.10435 0.793739 0.000194676
5813.88 0.049262 471251 523351 236843 -0.104862 0.792855 0.000163491
5814.14 0.044179 423070 469957 212183 -0.105104 0.795192 0.000172643
5814.39 0.037491 358495 398437 180122 -0.105635 0.793915 0.000198168
5814.65 0.0521 498334 554543 250555 -0.106874 0.794466 0.00021485
5814.9 0.046403 443772 494066 223423 -0.107358 0.793602 0.000200664
5815.15 0.041011 392491 437273 197458 -0.108044 0.795032 0.000219236
5815.41 0.04521 431246 480743 217601 -0.108654 0.79267 0.0002297
5815.66 0.04936 471753 525942 237602 -0.108735 0.794594 0.000214216
5815.91 0.042393 405723 452575 204635 -0.109283 0.793726 0.000219482
5816.17 0.039493 377709 421757 190961 -0.110305 0.79236 0.000241079
5816.42 0.050294 480972 537166 243755 -0.110498 0.790144 0.000224684
5816.68 0.049526 473213 528654 239620 -0.110789 0.79128 0.000243158
5816.93 0.042835 409220 457479 207218 -0.111478 0.79196 0.000217614
5817.18 0.038045 363225 406393 183939 -0.112298 0.792716 0.000228639
5817.44 0.050192 479655 537180 243383 -0.113266 0.791697 0.000204437
5817.69 0.04918 469155 525361 238544 -0.113152 0.789532 0.0002218
5817.95 0.043226 412804 462316 209772 -0.113276 0.790227 0.000181791
5818.2 0.043883 419333 470053 213214 -0.11418 0.790549 0.000219518
5818.46 0.050874 485691 544950 247626 -0.115121 0.788775 0.000187468
5818.71 0.043895 419626 470565 213362 -0.11457 0.790944 0.000178839
5818.96 0.039186 373939 419731 190877 -0.115521 0.787985 0.000203366
5819.22 0.047397 452606 508276 231155 -0.116003 0.787936 0.000216655
5819.47 0.04845 462499 519853 236537 -0.116902 0.787441 0.000177406
5819.73 0.042851 409366 460116 209523 -0.116869 0.786645 0.000219981
5819.98 0.038564 367015 412712 187849 -0.117347 0.787112 0.000160837
5820.24 0.055147 525912 591653 269229 -0.117786 0.787358 0.000173131
5820.49 0.046062 439192 494907 225642 -0.119433 0.78542 0.000234662
5820.74 0.041912 399349 450117 205362 -0.119672 0.784733 0.000180392
5821 0.045766 436661 492490 224287 -0.120317 0.786548 0.000164979
5821.25 0.050546 482233 543966 248527 -0.120459 0.783335 0.000209574
5821.51 0.042645 405429 457730 209083 -0.121334 0.783548 0.000214705
5821.76 0.035062 334577 377723 172538 -0.121294 0.783544 0.000209347
5822.02 0.051975 495683 559806 255531 -0.121654 0.784247 0.000173599
5822.27 0.044884 427652 483192 221026 -0.122104 0.782134 0.000191856
5822.53 0.042856 408234 461842 210994 -0.123382 0.783393 0.000218139
5822.78 0.04591 437172 494784 226174 -0.123795 0.782817 0.000217436
5823.04 0.049151 468924 530979 242988 -0.124282 0.78171 0.000174972
5823.29 0.042019 400182 453409 207547 -0.124875 0.781437 0.000175023
5823.54 0.038568 367190 416307 190599 -0.125544 0.781251 0.000182572
5823.8 0.049522 471213 534295 244776 -0.125638 0.780605 0.000210219
5824.05 0.050961 485234 550887 252312 -0.126898 0.780863 0.000195896
5824.31 0.040491 385026 437233 200217 -0.127155 0.781064 0.000233883
5824.56 0.03987 378863 430437 197515 -0.127626 0.778986 0.000213925
5824.82 0.051405 488499 555159 254897 -0.127917 0.778395 0.000190481
5825.07 0.049084 466525 530550 243269 -0.128603 0.779746 0.0002059
5825.33 0.042286 401552 457013 209765 -0.129375 0.778724 0.000229241
5825.58 0.038245 363475 413652 190097 -0.129315 0.777491 0.000228499
5825.84 0.052902 502117 572263 262837 -0.130766 0.778065 0.00021521
5826.09 0.042638 404641 461287 211710 -0.13102 0.778803 0.000185464
5826.35 0.04234 401287 457602 210493 -0.131323 0.776547 0.000196984
5826.6 0.047955 454751 518831 238372 -0.131828 0.777746 0.000213428
5826.86 0.051704 491352 560655 257819 -0.131945 0.776848 0.000193455
5827.11 0.042584 404201 461699 212666 -0.133001 0.77519 0.000232701
5827.37 0.040034 379613 433914 199649 -0.133694 0.776286 0.000221401
5827.62 0.049204 466738 533676 245826 -0.134021 0.775165 0.000218664
5827.88 0.047432 449741 514323 236736 -0.13418 0.775906 0.000195779
5828.13 0.04214 399662 457517 211118 -0.135195 0.773397 0.000182761
5828.39 0.037011 351340 402180 185545 -0.135145 0.773602 0.000213591
5828.64 0.050659 479575 549674 253428 -0.136425 0.774246 0.000233677
5828.9 0.050752 481066 551430 254505 -0.13651 0.773194 0.00021631
5829.15 0.043598 413432 474147 218385 -0.137024 0.775258 0.000203296
5829.41 0.040186 381222 437508 201602 -0.137713 0.7748 0.000207356
5829.66 0.048403 458972 527123 243220 -0.138445 0.773468 0.000176587
5829.92 0.049661 470740 540764 250172 -0.138677 0.770834 0.000180672
5830.17 0.04194 397450 456673 210958 -0.138898 0.772309 0.000224058
